JobTitle,TechnicalSkills,Frameworks,VersionControl,SoftSkills,Tools
"Architectural Software Engineer","Software Development, Architecture Design","AutoCAD, Revit","Git","Creativity, Attention to Detail","Visual Studio, BIM 360"
"BIM Architect","BIM Management, Design","Revit, Navisworks","Git","Collaboration, Problem-solving","AutoCAD, Microsoft Project"
"CAD Architect","CAD, Architectural Design","AutoCAD, SketchUp","Git","Attention to Detail, Creativity","Revit, BIM 360"
"Architectural Visualization Specialist","Visualization, 3D Modeling","V-Ray, Lumion","Git","Creativity, Communication","SketchUp, Adobe Suite"
"3D Modeling Architect","3D Modeling, Architectural Design","Revit, 3ds Max","Git","Problem-solving, Teamwork","BIM 360, AutoCAD"
"Architectural Software Developer","Software Development, Programming","C#, Java","Git","Creativity, Teamwork","Visual Studio, JIRA"
"Revit Architect","Revit, Architectural Design","Revit, Dynamo","Git","Attention to Detail, Organization","BIM 360, AutoCAD"
"Architectural Rendering Specialist","Rendering, Visualization","V-Ray, KeyShot","Git","Creativity, Communication","Photoshop, SketchUp"
"Architectural Design Software Consultant","Design, Software Solutions","AutoCAD, Revit","Git","Analytical Skills, Negotiation","Microsoft Project, Power BI"
"Architectural Simulation Engineer","Simulation, Modeling","Navisworks, Revit","Git","Problem-solving, Attention to Detail","BIM 360, AutoCAD"
"Parametric Design Architect","Parametric Design, Architecture","Grasshopper, Rhino","Git","Creativity, Critical Thinking","AutoCAD, Revit"
"Architectural Software Integration Specialist","Software Integration, API Development","MS Project, Revit API","Git","Analytical Skills, Teamwork","Visual Studio, Excel"
"Architectural Technology Specialist","Architectural Technology, Innovation","Revit, BIM 360","Git","Creativity, Adaptability","AutoCAD, SketchUp"
"Digital Architecture Engineer","Digital Architecture, Design","Revit, Dynamo","Git","Problem-solving, Initiative","BIM 360, AutoCAD"
"Computational Design Architect","Computational Design, Coding","Python, Grasshopper","Git","Creativity, Analytical Skills","Revit, Rhino"
"Virtual Reality Architect (Architecture)","Virtual Reality, 3D Modeling","Unity, Unreal Engine","Git","Creativity, Communication","BIM 360, AutoCAD"
"3D Visualization Engineer (Architecture)","3D Visualization, Modeling","Lumion, V-Ray","Git","Creativity, Attention to Detail","SketchUp, Adobe Suite"
"Architecture Software Product Manager","Product Management, Software Development","Agile, Scrum","Git","Leadership, Strategic Thinking","JIRA, Power BI"
"Sustainable Design Software Architect","Sustainable Design, Software Development","AutoCAD, Revit","Git","Analytical Skills, Communication","SketchUp, BIM 360"
"Architecture Software Trainer","Training, Software Development","AutoCAD, Revit","Git","Communication, Patience","PowerPoint, Excel"
"Architectural Automation Engineer","Automation, Software Development","Dynamo, Grasshopper","Git","Problem-solving, Initiative","Revit, AutoCAD"
"Generative Design Architect","Generative Design, Software Development","Grasshopper, Rhino","Git","Creativity, Analytical Skills","BIM 360, Revit"
"Digital Twin Architect","Digital Twin Technology, Modeling","Revit, Navisworks","Git","Attention to Detail, Teamwork","AutoCAD, Power BI"
"Architecture Information Systems Analyst","Information Systems, Data Analysis","SQL, MS Access","Git","Analytical Skills, Communication","Power BI, Excel"
"Smart Building Architect","Smart Building Technology, Design","Revit, BIM 360","Git","Creativity, Problem-solving","AutoCAD, SketchUp"
