JobTitle,TechnicalSkills,Frameworks,VersionControl,SoftSkills,Tools
"Automotive Design Engineer (CAD)","Automotive Design, CAD Software","SolidWorks, CATIA","Git","Creativity, Problem-solving","ANSYS, MATLAB"
"Vehicle Design Engineer (Software)","Vehicle Design, Software Development","C++, MATLAB","Git","Analytical Skills, Communication","Visual Studio, JIRA"
"Automotive CAD Engineer","CAD Design, Automotive Engineering","SolidWorks, AutoCAD","Git","Attention to Detail, Initiative","Fusion 360, Inventor"
"Automotive Simulation Engineer","Simulation, Automotive Engineering","ANSYS, MATLAB","Git","Analytical Skills, Teamwork","Simulink, PTC Creo"
"3D Automotive Design Engineer","3D Modeling, Automotive Design","SolidWorks, CATIA","Git","Creativity, Attention to Detail","BIM 360, Inventor"
"Automotive Product Design Engineer","Product Design, Automotive Engineering","SolidWorks, Pro/ENGINEER","Git","Problem-solving, Communication","MATLAB, ANSYS"
"Automotive Software Developer (Design)","Software Development, Automotive Design","C#, Python","Git","Analytical Skills, Teamwork","Visual Studio, JIRA"
"Automotive Body Design Engineer","Body Design, CAD Software","SolidWorks, CATIA","Git","Creativity, Attention to Detail","Inventor, ANSYS"
"Powertrain Design Engineer","Powertrain Systems, CAD Software","SolidWorks, MATLAB","Git","Analytical Skills, Initiative","Fusion 360, Revit"
"Automotive Interior Design Engineer","Interior Design, CAD Software","AutoCAD, SolidWorks","Git","Creativity, Communication","Revit, SketchUp"
"Automotive Chassis Design Engineer","Chassis Design, Automotive Engineering","SolidWorks, CATIA","Git","Problem-solving, Teamwork","ANSYS, MATLAB"
"Automotive Exterior Design Engineer","Exterior Design, CAD Software","SolidWorks, CATIA","Git","Creativity, Attention to Detail","Fusion 360, Inventor"
"CAD/CAM Engineer (Automotive)","CAD/CAM, Automotive Design","Mastercam, SolidWorks","Git","Analytical Skills, Problem-solving","Fusion 360, AutoCAD"
"Automotive Structural Design Engineer","Structural Design, Automotive Engineering","ANSYS, SolidWorks","Git","Attention to Detail, Initiative","MATLAB, Inventor"
"Automotive Design Automation Engineer","Design Automation, CAD Software","SolidWorks, AutoCAD","Git","Creativity, Problem-solving","Fusion 360, Revit"
"Vehicle Dynamics Simulation Engineer","Vehicle Dynamics, Simulation Software","MATLAB, Simulink","Git","Analytical Skills, Communication","ANSYS, JIRA"
"Automotive Component Design Engineer","Component Design, CAD Software","SolidWorks, AutoCAD","Git","Attention to Detail, Teamwork","Inventor, ANSYS"
